,numThreads,runTimeSec,k,l
0,128,32.061352491378784,64,32
1,128,27.494904041290283,32,32
2,128,20.626689910888672,32,16
3,64,30.73875069618225,64,32
4,64,26.443480253219604,32,32
5,64,20.480767011642456,32,16
6,32,34.06046271324158,64,32
7,32,29.899779558181763,32,32
8,32,20.39666223526001,32,16
9,16,49.84760546684265,64,32
10,16,33.229772329330444,32,32
11,16,22.98799443244934,32,16
12,8,74.336501121521,64,32
13,8,52.127567291259766,32,32
14,8,31.58037781715393,32,16
15,4,113.68964624404907,64,32
16,4,82.51471018791199,32,32
17,4,51.35470676422119,32,16
18,2,145.06989979743958,64,32
19,2,107.24727749824524,32,32
20,2,73.86025285720825,32,16
